[soak] t_ms=265128 frame=32370 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=75.1 bps=162485 rtt=1 lag=1 last=6 pm=21283 pr=21283 pb=37459426 w[t=256 ob=0/0 st=64 hm=128 vp=13 c=23]
[soak] t_ms=270128 frame=32970 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=42.7 bps=72714 rtt=1 lag=2 last=20 pm=21571 pr=21571 pb=38011739 w[t=256 ob=0/0 st=64 hm=128 vp=13 c=23]
[soak] t_ms=275130 frame=33571 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=184.7 bps=270783 rtt=1 lag=8 last=31 pm=22021 pr=22021 pb=38752906 w[t=256 ob=0/0 st=64 hm=128 vp=13 c=23]
[soak] t_ms=280145 frame=34172 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=154.0 bps=293007 rtt=1 lag=5 last=71 pm=22499 pr=22499 pb=39649655 w[t=256 ob=0/0 st=64 hm=128 vp=13 c=23]
[soak] t_ms=285145 frame=34771 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=9.0 bps=41854 rtt=1 lag=2 last=56 pm=22600 pr=22600 pb=39941615 w[t=256 ob=0/0 st=64 hm=128 vp=13 c=23]
[soak] t_ms=290145 frame=35371 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=48.6 bps=85795 rtt=1 lag=3 last=23 pm=23211 pr=23211 pb=41002575 w[t=256 ob=0/0 st=64 hm=128 vp=16 c=23]
[soak] t_ms=295147 frame=35972 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=42.3 bps=71301 rtt=1 lag=4 last=41 pm=23448 pr=23448 pb=41425708 w[t=256 ob=0/0 st=64 hm=128 vp=17 c=24]
[soak] t_ms=300147 frame=36572 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=52.5 bps=101506 rtt=1 lag=1 last=4 pm=23797 pr=23797 pb=42059464 w[t=256 ob=0/0 st=64 hm=128 vp=18 c=24]
[soak] t_ms=305149 frame=37172 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=69.0 bps=72538 rtt=1 lag=4 last=50 pm=24111 pr=24111 pb=42630822 w[t=256 ob=0/0 st=64 hm=128 vp=1 c=24]
[soak] t_ms=310162 frame=37773 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=15 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=518.4 bps=495684 rtt=1 lag=1 last=0 pm=25788 pr=25788 pb=44059044 w[t=256 ob=0/0 st=64 hm=128 vp=1 c=24]
[soak] t_ms=315162 frame=38373 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=222.1 bps=392506 rtt=1 lag=2 last=13 pm=27486 pr=27486 pb=46460953 w[t=256 ob=0/0 st=64 hm=128 vp=4 c=24]
[soak] t_ms=320162 frame=38973 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=179.6 bps=275278 rtt=1 lag=3 last=3 pm=28244 pr=28244 pb=47775946 w[t=256 ob=0/0 st=64 hm=128 vp=17 c=24]
